event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
ALG6712,2019-06-21,2,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Illizi,Illizi,Illizi,26.5048,8.4812,1,National,0,DZA
ALG6755,2019-06-28,2,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Illizi,Illizi,Illizi,26.5048,8.4812,1,National,0,DZA
ALG6809,2019-07-09,1,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Oran,Es Senia,Es Senia,35.6478,-0.624,1,Subnational,0,DZA
ALG6879,2019-07-26,2,Protests,Peaceful protest,Protesters (Algeria),Labor Group (Algeria),,,Algeria,Tlemcen,Tlemcen,Tlemcen,34.8783,-1.315,1,National,0,DZA
ALG6908,2019-07-28,2,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Tiaret,Tiaret,Tiaret,35.3758,1.3131,1,National,0,DZA
ALG6912,2019-07-30,1,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Mila,Mila,Mila,36.4503,6.2644,1,National,0,DZA
ALG6952,2019-08-05,1,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Chlef,Chlef,Chlef,36.1653,1.3345,1,National,0,DZA
ALG7093,2019-08-30,2,Riots,Violent demonstration,Rioters (Algeria),,,,Algeria,Mascara,Mascara,Mascara,35.3944,0.1397,1,National,0,DZA
ALG7094,2019-08-30,2,Riots,Violent demonstration,Rioters (Algeria),,,,Algeria,Biskra,Biskra,Biskra,34.8504,5.7281,1,National,0,DZA
ALG7300,2019-10-05,1,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Annaba,Annaba,Annaba,36.9,7.7667,1,National,0,DZA
ALG7303,2019-10-05,1,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Constantine,Constantine,Constantine,36.365,6.6147,1,National,0,DZA
ALG7327,2019-10-11,1,Protests,Peaceful protest,Protesters (Algeria),,,,Algeria,Boumerdes,Boumerdes,Boumerdes,36.7664,3.4772,1,National,0,DZA
